央视频道,#genre#
CCTV-5 体育,http://124.88.238.50:81/hls/5/index.m3u8
CCTV-5 体育,http://122.114.131.154:4001/hls/5/index.m3u8
CCTV-5 体育,http://219.155.105.238:8899/hls/5/index.m3u8
CCTV-5 体育,http://123.14.75.54:8090/hls/5/index.m3u8
CCTV-5 体育,http://182.119.121.160:8899/hls/5/index.m3u8
CCTV-5+ 体育赛事,http://222.142.184.65:8888/hls/3/index.m3u8
CCTV-5+ 体育赛事,http://124.93.18.238:81/hls/18/index.m3u8
CCTV-5+ 体育赛事,http://124.88.238.50:81/hls/6/index.m3u8
CCTV-5+ 体育赛事,http://122.114.131.154:4001/hls/16/index.m3u8
CCTV-5+ 体育赛事,http://182.119.121.160:8899/hls/18/index.m3u8
CCTV-5+ 体育赛事,http://218.19.109.134:808/hls/31/index.m3u8
CCTV-5+ 体育赛事,http://218.19.109.134:808/hls/31/index.m3u8
CCTV-6 电影,http://182.91.115.249:5258/hls/7/index.m3u8
CCTV-6 电影,http://222.142.184.65:8888/hls/23/index.m3u8
CCTV-6 电影,http://124.93.18.238:81/hls/6/index.m3u8
CCTV-6 电影,http://124.88.238.50:81/hls/7/index.m3u8
CCTV-6 电影,http://122.114.131.154:4001/hls/6/index.m3u8
CCTV-6 电影,http://219.155.105.238:8899/hls/6/index.m3u8
CCTV-6 电影,http://123.14.75.54:8090/hls/6/index.m3u8
CCTV-6 电影,http://182.119.121.160:8899/hls/6/index.m3u8
CCTV-7 国防军事,http://182.91.115.249:5258/hls/8/index.m3u8
CCTV-7 国防军事,http://222.142.184.65:8888/hls/4/index.m3u8
CCTV-7 国防军事,http://124.93.18.238:81/hls/7/index.m3u8
CCTV-7 国防军事,http://122.114.131.154:4001/hls/7/index.m3u8
CCTV-7 国防军事,http://219.155.105.238:8899/hls/7/index.m3u8
CCTV-7 国防军事,http://123.14.75.54:8090/hls/7/index.m3u8
CCTV-7 国防军事,http://182.119.121.160:8899/hls/7/index.m3u8
CCTV-8 电视剧,http://182.91.115.249:5258/hls/9/index.m3u8
CCTV-8 电视剧,http://124.93.18.238:81/hls/8/index.m3u8
CCTV-8 电视剧,http://124.88.238.50:81/hls/8/index.m3u8
CCTV-8 电视剧,http://122.114.131.154:4001/hls/8/index.m3u8
CCTV-8 电视剧,http://219.155.105.238:8899/hls/8/index.m3u8
CCTV-8 电视剧,http://123.14.75.54:8090/hls/8/index.m3u8
CCTV-8 电视剧,http://182.119.121.160:8899/hls/8/index.m3u8
CCTV-9 纪录,http://182.91.115.249:5258/hls/10/index.m3u8
CCTV-9 纪录,http://222.142.184.65:8888/hls/5/index.m3u8
CCTV-9 纪录,http://124.93.18.238:81/hls/9/index.m3u8
CCTV-9 纪录,http://122.114.131.154:4001/hls/9/index.m3u8
CCTV-9 纪录,http://219.155.105.238:8899/hls/9/index.m3u8
CCTV-9 纪录,http://123.14.75.54:8090/hls/9/index.m3u8
CCTV-9 纪录,http://182.119.121.160:8899/hls/9/index.m3u8
CCTV-9 纪录,http://218.19.109.134:808/hls/5/index.m3u8
CCTV-10 科教,http://182.91.115.249:5258/hls/11/index.m3u8
CCTV-10 科教,http://222.142.184.65:8888/hls/6/index.m3u8
CCTV-10 科教,http://124.93.18.238:81/hls/10/index.m3u8
CCTV-10 科教,http://122.114.131.154:4001/hls/10/index.m3u8
CCTV-10 科教,http://219.155.105.238:8899/hls/10/index.m3u8
CCTV-10 科教,http://123.14.75.54:8090/hls/10/index.m3u8
CCTV-10 科教,http://182.119.121.160:8899/hls/10/index.m3u8
CCTV-11 戏曲,http://182.91.115.249:5258/hls/12/index.m3u8
CCTV-11 戏曲,http://124.93.18.238:81/hls/11/index.m3u8
CCTV-11 戏曲,http://124.88.238.50:81/hls/10/index.m3u8
CCTV-11 戏曲,http://122.114.131.154:4001/hls/11/index.m3u8
CCTV-11 戏曲,http://219.155.105.238:8899/hls/11/index.m3u8
CCTV-11 戏曲,http://123.14.75.54:8090/hls/11/index.m3u8
CCTV-11 戏曲,http://182.119.121.160:8899/hls/11/index.m3u8
CCTV-12 社会与法,http://182.91.115.249:5258/hls/13/index.m3u8
CCTV-12 社会与法,http://222.142.184.65:8888/hls/7/index.m3u8
CCTV-12 社会与法,http://124.93.18.238:81/hls/12/index.m3u8
CCTV-12 社会与法,http://124.88.238.50:81/hls/11/index.m3u8
CCTV-12 社会与法,http://122.114.131.154:4001/hls/12/index.m3u8
CCTV-12 社会与法,http://219.155.105.238:8899/hls/12/index.m3u8
CCTV-12 社会与法,http://123.14.75.54:8090/hls/12/index.m3u8
CCTV-12 社会与法,http://182.119.121.160:8899/hls/12/index.m3u8
CCTV-13 新闻,http://182.91.115.249:5258/hls/14/index.m3u8
CCTV-13 新闻,http://124.93.18.238:81/hls/13/index.m3u8
CCTV-13 新闻,http://124.88.238.50:81/hls/12/index.m3u8
CCTV-13 新闻,http://122.114.131.154:4001/hls/13/index.m3u8
CCTV-13 新闻,http://219.155.105.238:8899/hls/13/index.m3u8
CCTV-13 新闻,http://123.14.75.54:8090/hls/13/index.m3u8
CCTV-13 新闻,http://182.119.121.160:8899/hls/13/index.m3u8
CCTV-14 少儿,http://182.91.115.249:5258/hls/15/index.m3u8
CCTV-14 少儿,http://222.142.184.65:8888/hls/8/index.m3u8
CCTV-14 少儿,http://124.93.18.238:81/hls/14/index.m3u8
CCTV-14 少儿,http://122.114.131.154:4001/hls/14/index.m3u8
CCTV-14 少儿,http://219.155.105.238:8899/hls/14/index.m3u8
CCTV-14 少儿,http://123.14.75.54:8090/hls/14/index.m3u8
CCTV-14 少儿,http://182.119.121.160:8899/hls/14/index.m3u8
CCTV-15 音乐,http://182.91.115.249:5258/hls/16/index.m3u8
CCTV-15 音乐,http://124.93.18.238:81/hls/15/index.m3u8
CCTV-15 音乐,http://122.114.131.154:4001/hls/15/index.m3u8
CCTV-15 音乐,http://219.155.105.238:8899/hls/15/index.m3u8
CCTV-15 音乐,http://123.14.75.54:8090/hls/15/index.m3u8
CCTV-15 音乐,http://182.119.121.160:8899/hls/15/index.m3u8
CCTV-16 奥林匹克,http://182.91.115.249:5258/hls/18/index.m3u8
CCTV-16 奥林匹克,http://124.93.18.238:81/hls/16/index.m3u8
CCTV-17 农业农村,http://182.91.115.249:5258/hls/19/index.m3u8
CCTV-17 农业农村,http://124.93.18.238:81/hls/17/index.m3u8
CCTV-17 农业农村,http://182.119.121.160:8899/hls/17/index.m3u8
CCTV 美洲,http://124.93.18.238:81/hls/22/index.m3u8
CCTV央视台球,http://124.93.18.238:81/hls/20/index.m3u8
CCTV高尔夫,http://124.93.18.238:81/hls/19/index.m3u8
CGTN,http://182.91.115.249:5258/hls/20/index.m3u8
CGTN,http://182.119.121.160:8899/hls/16/index.m3u8
卫视频道,#genre#

三沙卫视,http://182.91.115.249:5258/hls/54/index.m3u8
东南卫视,http://182.91.115.249:5258/hls/35/index.m3u8
东南卫视,http://219.155.105.238:8899/hls/47/index.m3u8
东南卫视,http://182.119.121.160:8899/hls/55/index.m3u8
东方卫视,http://182.91.115.249:5258/hls/23/index.m3u8
东方卫视,http://222.142.184.65:8888/hls/11/index.m3u8
东方卫视,http://124.88.238.50:81/hls/15/index.m3u8
东方卫视,http://122.114.131.154:4001/hls/19/index.m3u8
东方卫视,http://219.155.105.238:8899/hls/26/index.m3u8
东方卫视,http://123.14.75.54:8090/hls/21/index.m3u8
东方卫视,http://182.119.121.160:8899/hls/34/index.m3u8
云南卫视,http://182.91.115.249:5258/hls/43/index.m3u8
云南卫视,http://124.93.18.238:81/hls/45/index.m3u8
云南卫视,http://122.114.131.154:4001/hls/32/index.m3u8
云南卫视,http://219.155.105.238:8899/hls/43/index.m3u8
云南卫视,http://123.14.75.54:8090/hls/30/index.m3u8
云南卫视,http://182.119.121.160:8899/hls/51/index.m3u8
兵团卫视,http://182.91.115.249:5258/hls/56/index.m3u8
兵团卫视,http://124.93.18.238:81/hls/58/index.m3u8
内蒙古卫视,http://182.91.115.249:5258/hls/49/index.m3u8
内蒙古卫视,http://124.93.18.238:81/hls/47/index.m3u8
内蒙古卫视,http://219.155.105.238:8899/hls/48/index.m3u8
内蒙古卫视,http://182.119.121.160:8899/hls/56/index.m3u8
农林卫视,http://124.93.18.238:81/hls/59/index.m3u8
北京卫视,http://182.91.115.249:5258/hls/24/index.m3u8
北京卫视,http://222.142.184.65:8888/hls/18/index.m3u8
北京卫视,http://124.93.18.238:81/hls/23/index.m3u8
北京卫视,http://124.88.238.50:81/hls/13/index.m3u8
北京卫视,http://122.114.131.154:4001/hls/26/index.m3u8
北京卫视,http://219.155.105.238:8899/hls/31/index.m3u8
北京卫视,http://123.14.75.54:8090/hls/20/index.m3u8
北京卫视,http://182.119.121.160:8899/hls/36/index.m3u8
北京卫视,http://218.19.109.134:808/hls/11/index.m3u8
厦门卫视,http://182.91.115.249:5258/hls/55/index.m3u8
厦门卫视,http://124.93.18.238:81/hls/55/index.m3u8
吉林卫视,http://182.91.115.249:5258/hls/51/index.m3u8
吉林卫视,http://124.93.18.238:81/hls/49/index.m3u8
吉林卫视,http://219.155.105.238:8899/hls/45/index.m3u8
吉林卫视,http://182.119.121.160:8899/hls/53/index.m3u8
四川卫视,http://182.91.115.249:5258/hls/39/index.m3u8
四川卫视,http://124.93.18.238:81/hls/42/index.m3u8
四川卫视,http://122.114.131.154:4001/hls/31/index.m3u8
四川卫视,http://219.155.105.238:8899/hls/40/index.m3u8
四川卫视,http://123.14.75.54:8090/hls/28/index.m3u8
四川卫视,http://182.119.121.160:8899/hls/48/index.m3u8
大湾区卫视,http://182.91.115.249:5258/hls/40/index.m3u8
天津卫视,http://182.91.115.249:5258/hls/28/index.m3u8
天津卫视,http://222.142.184.65:8888/hls/12/index.m3u8
天津卫视,http://124.93.18.238:81/hls/24/index.m3u8
天津卫视,http://122.114.131.154:4001/hls/20/index.m3u8
天津卫视,http://219.155.105.238:8899/hls/42/index.m3u8
天津卫视,http://123.14.75.54:8090/hls/22/index.m3u8
天津卫视,http://182.119.121.160:8899/hls/50/index.m3u8
宁夏卫视,http://182.91.115.249:5258/hls/52/index.m3u8
宁夏卫视,http://124.93.18.238:81/hls/48/index.m3u8
宁夏卫视,http://219.155.105.238:8899/hls/46/index.m3u8
宁夏卫视,http://182.119.121.160:8899/hls/54/index.m3u8
安徽卫视,http://182.91.115.249:5258/hls/36/index.m3u8
安徽卫视,http://222.142.184.65:8888/hls/13/index.m3u8
安徽卫视,http://124.93.18.238:81/hls/31/index.m3u8
安徽卫视,http://124.88.238.50:81/hls/18/index.m3u8
安徽卫视,http://122.114.131.154:4001/hls/21/index.m3u8
安徽卫视,http://219.155.105.238:8899/hls/32/index.m3u8
安徽卫视,http://123.14.75.54:8090/hls/24/index.m3u8
安徽卫视,http://182.119.121.160:8899/hls/40/index.m3u8
山东卫视,http://182.91.115.249:5258/hls/30/index.m3u8
山东卫视,http://222.142.184.65:8888/hls/14/index.m3u8
山东卫视,http://124.93.18.238:81/hls/34/index.m3u8
山东卫视,http://122.114.131.154:4001/hls/22/index.m3u8
山东卫视,http://219.155.105.238:8899/hls/30/index.m3u8
山东卫视,http://123.14.75.54:8090/hls/23/index.m3u8
山东卫视,http://182.119.121.160:8899/hls/39/index.m3u8
山东卫视,http://218.19.109.134:808/hls/15/index.m3u8
山东教育卫视,http://182.91.115.249:5258/hls/53/index.m3u8
山西卫视,http://182.91.115.249:5258/hls/47/index.m3u8
山西卫视,http://124.93.18.238:81/hls/35/index.m3u8
山西卫视,http://219.155.105.238:8899/hls/49/index.m3u8
山西卫视,http://182.119.121.160:8899/hls/58/index.m3u8
广东卫视,http://182.91.115.249:5258/hls/21/index.m3u8
广东卫视,http://124.93.18.238:81/hls/36/index.m3u8
广东卫视,http://219.155.105.238:8899/hls/28/index.m3u8
广东卫视,http://182.119.121.160:8899/hls/37/index.m3u8
广西卫视,http://182.91.115.249:5258/hls/1/index.m3u8
广西卫视,http://124.93.18.238:81/hls/37/index.m3u8
广西卫视,http://219.155.105.238:8899/hls/52/index.m3u8
广西卫视,http://182.119.121.160:8899/hls/57/index.m3u8
延边卫视,http://124.93.18.238:81/hls/60/index.m3u8
新疆卫视,http://182.91.115.249:5258/hls/44/index.m3u8
新疆卫视,http://124.93.18.238:81/hls/50/index.m3u8
新疆卫视,http://219.155.105.238:8899/hls/56/index.m3u8
新疆卫视,http://182.119.121.160:8899/hls/68/index.m3u8
江苏卫视,http://182.91.115.249:5258/hls/26/index.m3u8
江苏卫视,http://222.142.184.65:8888/hls/20/index.m3u8
江苏卫视,http://124.93.18.238:81/hls/30/index.m3u8
江苏卫视,http://124.88.238.50:81/hls/17/index.m3u8
江苏卫视,http://122.114.131.154:4001/hls/28/index.m3u8
江苏卫视,http://219.155.105.238:8899/hls/27/index.m3u8
江苏卫视,http://123.14.75.54:8090/hls/18/index.m3u8
江苏卫视,http://182.119.121.160:8899/hls/35/index.m3u8
江苏卫视,http://120.83.125.13:808/hls/559/index.m3u8
江苏卫视,http://120.83.125.25:808/hls/559/index.m3u8
江西卫视,http://182.91.115.249:5258/hls/38/index.m3u8
江西卫视,http://124.93.18.238:81/hls/39/index.m3u8
江西卫视,http://124.88.238.50:81/hls/19/index.m3u8
江西卫视,http://122.114.131.154:4001/hls/30/index.m3u8
江西卫视,http://219.155.105.238:8899/hls/37/index.m3u8
江西卫视,http://182.119.121.160:8899/hls/45/index.m3u8
河北卫视,http://182.91.115.249:5258/hls/32/index.m3u8
河北卫视,http://124.93.18.238:81/hls/40/index.m3u8
河北卫视,http://219.155.105.238:8899/hls/36/index.m3u8
河北卫视,http://182.119.121.160:8899/hls/44/index.m3u8
河南卫视,http://182.91.115.249:5258/hls/42/index.m3u8
河南卫视,http://222.142.184.65:8888/hls/9/index.m3u8
河南卫视,http://124.93.18.238:81/hls/41/index.m3u8
河南卫视,http://124.88.238.50:81/hls/20/index.m3u8
河南卫视,http://122.114.131.154:4001/hls/17/index.m3u8
河南卫视,http://219.155.105.238:8899/hls/16/index.m3u8
河南卫视,http://123.14.75.54:8090/hls/16/index.m3u8
河南卫视,http://182.119.121.160:8899/hls/19/index.m3u8
浙江卫视,http://182.91.115.249:5258/hls/25/index.m3u8
浙江卫视,http://222.142.184.65:8888/hls/10/index.m3u8
浙江卫视,http://124.93.18.238:81/hls/29/index.m3u8
浙江卫视,http://124.88.238.50:81/hls/16/index.m3u8
浙江卫视,http://122.114.131.154:4001/hls/18/index.m3u8
浙江卫视,http://219.155.105.238:8899/hls/25/index.m3u8
浙江卫视,http://123.14.75.54:8090/hls/19/index.m3u8
浙江卫视,http://182.119.121.160:8899/hls/33/index.m3u8
海南卫视,http://182.91.115.249:5258/hls/46/index.m3u8
海南卫视,http://124.93.18.238:81/hls/43/index.m3u8
海南卫视,http://182.119.121.160:8899/hls/59/index.m3u8
深圳卫视,http://182.91.115.249:5258/hls/27/index.m3u8
深圳卫视,http://222.142.184.65:8888/hls/16/index.m3u8
深圳卫视,http://124.93.18.238:81/hls/54/index.m3u8
深圳卫视,http://122.114.131.154:4001/hls/24/index.m3u8
深圳卫视,http://219.155.105.238:8899/hls/39/index.m3u8
深圳卫视,http://123.14.75.54:8090/hls/25/index.m3u8
深圳卫视,http://182.119.121.160:8899/hls/47/index.m3u8
湖北卫视,http://182.91.115.249:5258/hls/29/index.m3u8
湖北卫视,http://222.142.184.65:8888/hls/15/index.m3u8
湖北卫视,http://124.93.18.238:81/hls/38/index.m3u8
湖北卫视,http://122.114.131.154:4001/hls/23/index.m3u8
湖北卫视,http://219.155.105.238:8899/hls/41/index.m3u8
湖北卫视,http://123.14.75.54:8090/hls/27/index.m3u8
湖北卫视,http://182.119.121.160:8899/hls/49/index.m3u8
湖北卫视,http://218.19.109.134:808/hls/14/index.m3u8
湖南卫视,http://182.91.115.249:5258/hls/22/index.m3u8
湖南卫视,http://222.142.184.65:8888/hls/19/index.m3u8
湖南卫视,http://124.93.18.238:81/hls/32/index.m3u8
湖南卫视,http://124.88.238.50:81/hls/14/index.m3u8
湖南卫视,http://122.114.131.154:4001/hls/27/index.m3u8
湖南卫视,http://219.155.105.238:8899/hls/38/index.m3u8
湖南卫视,http://123.14.75.54:8090/hls/17/index.m3u8
湖南卫视,http://182.119.121.160:8899/hls/46/index.m3u8
甘肃卫视,http://182.91.115.249:5258/hls/37/index.m3u8
甘肃卫视,http://124.93.18.238:81/hls/51/index.m3u8
甘肃卫视,http://219.155.105.238:8899/hls/53/index.m3u8
甘肃卫视,http://182.119.121.160:8899/hls/60/index.m3u8
西藏卫视,http://182.91.115.249:5258/hls/50/index.m3u8
西藏卫视,http://124.93.18.238:81/hls/52/index.m3u8
西藏卫视,http://124.93.18.238:81/hls/61/index.m3u8
西藏卫视,http://219.155.105.238:8899/hls/50/index.m3u8
西藏卫视,http://182.119.121.160:8899/hls/65/index.m3u8
贵州卫视,http://182.91.115.249:5258/hls/33/index.m3u8
贵州卫视,http://124.93.18.238:81/hls/33/index.m3u8
贵州卫视,http://219.155.105.238:8899/hls/35/index.m3u8
贵州卫视,http://182.119.121.160:8899/hls/43/index.m3u8
辽宁卫视,http://182.91.115.249:5258/hls/34/index.m3u8
辽宁卫视,http://124.93.18.238:81/hls/27/index.m3u8
辽宁卫视,http://124.88.238.50:81/hls/21/index.m3u8
辽宁卫视,http://122.114.131.154:4001/hls/29/index.m3u8
辽宁卫视,http://219.155.105.238:8899/hls/33/index.m3u8
辽宁卫视,http://123.14.75.54:8090/hls/32/index.m3u8
辽宁卫视,http://182.119.121.160:8899/hls/41/index.m3u8
重庆卫视,http://182.91.115.249:5258/hls/45/index.m3u8
重庆卫视,http://219.155.105.238:8899/hls/44/index.m3u8
重庆卫视,http://182.119.121.160:8899/hls/52/index.m3u8
陕西卫视,http://182.91.115.249:5258/hls/41/index.m3u8
陕西卫视,http://124.93.18.238:81/hls/46/index.m3u8
陕西卫视,http://219.155.105.238:8899/hls/34/index.m3u8
陕西卫视,http://182.119.121.160:8899/hls/42/index.m3u8
青海卫视,http://182.91.115.249:5258/hls/48/index.m3u8
青海卫视,http://124.93.18.238:81/hls/44/index.m3u8
青海卫视,http://219.155.105.238:8899/hls/54/index.m3u8
青海卫视,http://182.119.121.160:8899/hls/61/index.m3u8
黑龙江卫视,http://182.91.115.249:5258/hls/31/index.m3u8
黑龙江卫视,http://222.142.184.65:8888/hls/17/index.m3u8
黑龙江卫视,http://124.93.18.238:81/hls/53/index.m3u8
黑龙江卫视,http://122.114.131.154:4001/hls/25/index.m3u8
黑龙江卫视,http://219.155.105.238:8899/hls/29/index.m3u8
黑龙江卫视,http://123.14.75.54:8090/hls/29/index.m3u8
黑龙江卫视,http://182.119.121.160:8899/hls/38/index.m3u8
黑龙江卫视,http://218.19.109.134:808/hls/16/index.m3u8
数字频道,#genre#

优漫卡通,http://182.119.121.160:8899/hls/66/index.m3u8
卡酷动画,http://182.119.121.160:8899/hls/63/index.m3u8
哈哈炫动,http://182.119.121.160:8899/hls/67/index.m3u8
嘉佳卡通,http://182.91.115.249:5258/hls/63/index.m3u8
嘉佳卡通,http://219.155.105.238:8899/hls/55/index.m3u8
嘉佳卡通,http://182.119.121.160:8899/hls/64/index.m3u8
国学频道,http://182.119.121.160:8899/hls/32/index.m3u8
文物宝库,http://219.155.105.238:8899/hls/59/index.m3u8
梨园频道,http://219.155.105.238:8899/hls/24/index.m3u8
梨园频道,http://182.119.121.160:8899/hls/30/index.m3u8
武术世界,http://182.119.121.160:8899/hls/31/index.m3u8
金鹰卡通,http://219.155.105.238:8899/hls/60/index.m3u8
金鹰卡通,http://182.119.121.160:8899/hls/62/index.m3u8
金鹰卡通高清,http://182.91.115.249:5258/hls/61/index.m3u8
金鹰纪实高清,http://182.91.115.249:5258/hls/57/index.m3u8
地方频道,#genre#

CETV-1高清,http://182.91.115.249:5258/hls/58/index.m3u8
CETV-2,http://182.91.115.249:5258/hls/59/index.m3u8
CETV-4高清,http://182.91.115.249:5258/hls/60/index.m3u8
河南公共,http://222.142.184.65:8888/hls/29/index.m3u8
河南国际,http://222.142.184.65:8888/hls/30/index.m3u8
河南国际,http://182.119.121.160:8899/hls/29/index.m3u8
河南新闻,http://222.142.184.65:8888/hls/28/index.m3u8
河南民生,http://222.142.184.65:8888/hls/25/index.m3u8
河南法治,http://222.142.184.65:8888/hls/26/index.m3u8
河南电视剧,http://222.142.184.65:8888/hls/27/index.m3u8
河南都市,http://222.142.184.65:8888/hls/24/index.m3u8
移动戏曲,http://182.119.121.160:8899/hls/27/index.m3u8
其它频道,#genre#

BRTV卡酷少儿,http://182.91.115.249:5258/hls/62/index.m3u8
上海,http://124.93.18.238:81/hls/25/index.m3u8
乡村频道,http://182.119.121.160:8899/hls/25/index.m3u8
俄语频道,http://124.93.18.238:81/hls/64/index.m3u8
公共频道,http://219.155.105.238:8899/hls/22/index.m3u8
公共频道,http://182.119.121.160:8899/hls/26/index.m3u8
周口电视台1,http://219.155.105.238:8899/hls/51/index.m3u8
文宝频道,http://182.119.121.160:8899/hls/21/index.m3u8
新农村频道,http://219.155.105.238:8899/hls/23/index.m3u8
新闻频道,http://219.155.105.238:8899/hls/21/index.m3u8
新闻频道,http://182.119.121.160:8899/hls/24/index.m3u8
梨园,http://124.93.18.238:81/hls/62/index.m3u8
民生频道,http://219.155.105.238:8899/hls/18/index.m3u8
法制频道,http://182.119.121.160:8899/hls/22/index.m3u8
法治频道,http://219.155.105.238:8899/hls/19/index.m3u8
法语频道,http://124.93.18.238:81/hls/67/index.m3u8
电视剧频,http://182.119.121.160:8899/hls/23/index.m3u8
电视剧频道,http://219.155.105.238:8899/hls/20/index.m3u8
百姓调解,http://182.119.121.160:8899/hls/28/index.m3u8
英语频道,http://124.93.18.238:81/hls/63/index.m3u8
西班牙语,http://124.93.18.238:81/hls/65/index.m3u8
辽宁体育,http://124.93.18.238:81/hls/56/index.m3u8
辽宁新闻,http://124.93.18.238:81/hls/28/index.m3u8
辽宁经济,http://124.93.18.238:81/hls/57/index.m3u8
都市频道,http://219.155.105.238:8899/hls/17/index.m3u8
都市频道,http://182.119.121.160:8899/hls/20/index.m3u8
重庆,http://124.93.18.238:81/hls/26/index.m3u8
阿拉伯语,http://124.93.18.238:81/hls/66/index.m3u8
其它频道,#genre#

1,http://144.0.58.195:8083/hls/1/index.m3u8
1,http://123.234.116.19:8081/hls/1/index.m3u8
1,http://39.65.184.133:8082/hls/1/index.m3u8
10,http://144.0.58.195:8083/hls/10/index.m3u8
10,http://123.234.116.19:8081/hls/10/index.m3u8
10,http://39.65.184.133:8082/hls/10/index.m3u8
11,http://144.0.58.195:8083/hls/11/index.m3u8
11,http://123.234.116.19:8081/hls/11/index.m3u8
11,http://39.65.184.133:8082/hls/11/index.m3u8
12,http://144.0.58.195:8083/hls/12/index.m3u8
12,http://123.234.116.19:8081/hls/12/index.m3u8
12,http://39.65.184.133:8082/hls/12/index.m3u8
13,http://144.0.58.195:8083/hls/13/index.m3u8
13,http://123.234.116.19:8081/hls/13/index.m3u8
13,http://39.65.184.133:8082/hls/13/index.m3u8
14,http://144.0.58.195:8083/hls/14/index.m3u8
14,http://123.234.116.19:8081/hls/14/index.m3u8
14,http://39.65.184.133:8082/hls/14/index.m3u8
15,http://144.0.58.195:8083/hls/15/index.m3u8
15,http://123.234.116.19:8081/hls/15/index.m3u8
15,http://39.65.184.133:8082/hls/15/index.m3u8
16,http://144.0.58.195:8083/hls/16/index.m3u8
16,http://123.234.116.19:8081/hls/16/index.m3u8
16,http://39.65.184.133:8082/hls/16/index.m3u8
17,http://144.0.58.195:8083/hls/17/index.m3u8
17,http://123.234.116.19:8081/hls/17/index.m3u8
17,http://39.65.184.133:8082/hls/17/index.m3u8
18,http://144.0.58.195:8083/hls/18/index.m3u8
18,http://123.234.116.19:8081/hls/18/index.m3u8
18,http://39.65.184.133:8082/hls/18/index.m3u8
19,http://144.0.58.195:8083/hls/19/index.m3u8
19,http://123.234.116.19:8081/hls/19/index.m3u8
19,http://39.65.184.133:8082/hls/19/index.m3u8
2,http://144.0.58.195:8083/hls/2/index.m3u8
2,http://123.234.116.19:8081/hls/2/index.m3u8
2,http://39.65.184.133:8082/hls/2/index.m3u8
20,http://144.0.58.195:8083/hls/20/index.m3u8
20,http://123.234.116.19:8081/hls/20/index.m3u8
20,http://39.65.184.133:8082/hls/20/index.m3u8
21,http://144.0.58.195:8083/hls/21/index.m3u8
21,http://123.234.116.19:8081/hls/21/index.m3u8
21,http://39.65.184.133:8082/hls/21/index.m3u8
22,http://144.0.58.195:8083/hls/22/index.m3u8
22,http://123.234.116.19:8081/hls/22/index.m3u8
22,http://39.65.184.133:8082/hls/22/index.m3u8
23,http://144.0.58.195:8083/hls/23/index.m3u8
23,http://123.234.116.19:8081/hls/23/index.m3u8
23,http://39.65.184.133:8082/hls/23/index.m3u8
24,http://144.0.58.195:8083/hls/24/index.m3u8
24,http://123.234.116.19:8081/hls/24/index.m3u8
24,http://39.65.184.133:8082/hls/24/index.m3u8
25,http://123.234.116.19:8081/hls/25/index.m3u8
