央视频道,#genre#
CCTV-音乐,http://14.106.98.82:888/hls/11/index.m3u8
CGTN,http://180.119.180.168:8200/hls/38/index.m3u8
CGTN,http://14.155.149.251:8088/hls/18/index.m3u8
卫视频道,#genre#

东方卫视,http://180.119.180.168:8200/hls/17/index.m3u8
东方卫视,http://14.155.149.251:8088/hls/34/index.m3u8
云南卫视,http://14.106.98.82:888/hls/35/index.m3u8
云南卫视,http://14.155.149.251:8088/hls/46/index.m3u8
兵团卫视,http://14.106.98.82:888/hls/41/index.m3u8
内蒙古卫视,http://14.106.98.82:888/hls/39/index.m3u8
内蒙古卫视,http://14.155.149.251:8088/hls/59/index.m3u8
南方卫视,http://14.155.149.251:8088/hls/31/index.m3u8
吉林卫视,http://14.106.98.82:888/hls/28/index.m3u8
嘉佳卡通卫视,http://14.155.149.251:8088/hls/27/index.m3u8
四川卫视,http://14.155.149.251:8088/hls/44/index.m3u8
天津卫视,http://14.106.98.82:888/hls/27/index.m3u8
宁夏卫视,http://14.106.98.82:888/hls/43/index.m3u8
安徽卫视,http://180.119.180.168:8200/hls/28/index.m3u8
安徽卫视,http://14.155.149.251:8088/hls/43/index.m3u8
山东卫视,http://14.155.149.251:8088/hls/47/index.m3u8
山西卫视,http://14.106.98.82:888/hls/30/index.m3u8
广东卫视,http://180.119.180.168:8200/hls/18/index.m3u8
广东卫视,http://14.155.149.251:8088/hls/28/index.m3u8
新疆卫视,http://14.106.98.82:888/hls/40/index.m3u8
江苏卫视,http://180.119.180.168:8200/hls/36/index.m3u8
江苏卫视,http://14.155.149.251:8088/hls/36/index.m3u8
江西卫视,http://14.155.149.251:8088/hls/42/index.m3u8
河北卫视,http://14.106.98.82:888/hls/34/index.m3u8
河北卫视,http://14.155.149.251:8088/hls/41/index.m3u8
河南卫视,http://14.155.149.251:8088/hls/40/index.m3u8
浙江卫视,http://180.119.180.168:8200/hls/22/index.m3u8
浙江卫视,http://14.155.149.251:8088/hls/35/index.m3u8
海南卫视,http://14.155.149.251:8088/hls/49/index.m3u8
深圳卫视,http://14.106.98.82:888/hls/36/index.m3u8
深圳卫视,http://14.155.149.251:8088/hls/2/index.m3u8
湖北卫视,http://14.155.149.251:8088/hls/38/index.m3u8
湖南卫视,http://180.119.180.168:8200/hls/27/index.m3u8
湖南卫视,http://14.155.149.251:8088/hls/37/index.m3u8
甘肃卫视,http://14.106.98.82:888/hls/42/index.m3u8
甘肃卫视,http://14.155.149.251:8088/hls/57/index.m3u8
西藏卫视,http://14.106.98.82:888/hls/38/index.m3u8
辽宁卫视,http://14.155.149.251:8088/hls/48/index.m3u8
重庆卫视,http://14.155.149.251:8088/hls/45/index.m3u8
陕西卫视,http://14.106.98.82:888/hls/33/index.m3u8
青海卫视,http://14.106.98.82:888/hls/37/index.m3u8
青海卫视,http://14.155.149.251:8088/hls/56/index.m3u8
黑龙江卫视,http://14.106.98.82:888/hls/29/index.m3u8
黑龙江卫视,http://14.155.149.251:8088/hls/51/index.m3u8
广东,#genre#

广东影视,http://14.155.149.251:8088/hls/32/index.m3u8
广东珠江,http://14.155.149.251:8088/hls/29/index.m3u8
数字频道,#genre#

炫动卡通,http://14.106.98.82:888/hls/48/index.m3u8
浙江,#genre#

浙江公共新闻,http://180.119.180.168:8200/hls/46/index.m3u8
浙江经济生活,http://180.119.180.168:8200/hls/57/index.m3u8
地方频道,#genre#

中国教育-1,http://14.106.98.82:888/hls/12/index.m3u8
广东综艺,http://14.155.149.251:8088/hls/30/index.m3u8
江苏城市,http://180.119.180.168:8200/hls/34/index.m3u8
浙江国际,http://180.119.180.168:8200/hls/47/index.m3u8
浙江少儿,http://180.119.180.168:8200/hls/55/index.m3u8
深圳都市,http://14.155.149.251:8088/hls/20/index.m3u8
其它频道,#genre#

CQTV影视,http://14.106.98.82:888/hls/14/index.m3u8
CQTV时尚,http://14.106.98.82:888/hls/16/index.m3u8
CQTV都市,http://14.106.98.82:888/hls/15/index.m3u8
中国气象,http://14.106.98.82:888/hls/44/index.m3u8
南京新闻综合,http://180.119.180.168:8200/hls/31/index.m3u8
江苏新闻,http://180.119.180.168:8200/hls/35/index.m3u8
浙江之江记录,http://180.119.180.168:8200/hls/58/index.m3u8
浙江教科,http://180.119.180.168:8200/hls/48/index.m3u8
浙江教育,http://180.119.180.168:8200/hls/49/index.m3u8
浙江民生,http://180.119.180.168:8200/hls/50/index.m3u8
浙江钱江,http://180.119.180.168:8200/hls/56/index.m3u8
深圳体育,http://14.155.149.251:8088/hls/24/index.m3u8
深圳公共,http://14.155.149.251:8088/hls/26/index.m3u8
深圳少儿,http://14.155.149.251:8088/hls/25/index.m3u8
深圳电视剧,http://14.155.149.251:8088/hls/21/index.m3u8
深圳财经生活,http://14.155.149.251:8088/hls/22/index.m3u8
纪实频道,http://14.106.98.82:888/hls/46/index.m3u8
苏州文化生活,http://180.119.180.168:8200/hls/51/index.m3u8
苏州新闻综合,http://180.119.180.168:8200/hls/52/index.m3u8
苏州生活资讯,http://180.119.180.168:8200/hls/53/index.m3u8
苏州社会经济,http://180.119.180.168:8200/hls/54/index.m3u8
其它频道,#genre#

1,http://144.0.63.17:8083/hls/1/index.m3u8
1,http://39.89.9.156:8083/hls/1/index.m3u8
10,http://144.0.63.17:8083/hls/10/index.m3u8
10,http://39.89.9.156:8083/hls/10/index.m3u8
10,http://39.89.9.156:8083/hls/10/index.m3u8
11,http://144.0.63.17:8083/hls/11/index.m3u8
11,http://39.89.9.156:8083/hls/11/index.m3u8
12,http://144.0.63.17:8083/hls/12/index.m3u8
12,http://39.89.9.156:8083/hls/12/index.m3u8
13,http://144.0.63.17:8083/hls/13/index.m3u8
13,http://39.89.9.156:8083/hls/13/index.m3u8
14,http://144.0.63.17:8083/hls/14/index.m3u8
14,http://39.89.9.156:8083/hls/14/index.m3u8
15,http://144.0.63.17:8083/hls/15/index.m3u8
15,http://39.89.9.156:8083/hls/15/index.m3u8
16,http://144.0.63.17:8083/hls/16/index.m3u8
16,http://39.89.9.156:8083/hls/16/index.m3u8
17,http://144.0.63.17:8083/hls/17/index.m3u8
18,http://144.0.63.17:8083/hls/18/index.m3u8
19,http://144.0.63.17:8083/hls/19/index.m3u8
2,http://144.0.63.17:8083/hls/2/index.m3u8
2,http://39.89.9.156:8083/hls/2/index.m3u8
20,http://144.0.63.17:8083/hls/20/index.m3u8
21,http://144.0.63.17:8083/hls/21/index.m3u8
22,http://144.0.63.17:8083/hls/22/index.m3u8
23,http://144.0.63.17:8083/hls/23/index.m3u8
24,http://144.0.63.17:8083/hls/24/index.m3u8
3,http://144.0.63.17:8083/hls/3/index.m3u8
3,http://39.89.9.156:8083/hls/3/index.m3u8
4,http://144.0.63.17:8083/hls/4/index.m3u8
4,http://39.89.9.156:8083/hls/4/index.m3u8
5,http://144.0.63.17:8083/hls/5/index.m3u8
5,http://39.89.9.156:8083/hls/5/index.m3u8
6,http://144.0.63.17:8083/hls/6/index.m3u8
6,http://39.89.9.156:8083/hls/6/index.m3u8
7,http://144.0.63.17:8083/hls/7/index.m3u8
7,http://39.89.9.156:8083/hls/7/index.m3u8
8,http://144.0.63.17:8083/hls/8/index.m3u8
8,http://39.89.9.156:8083/hls/8/index.m3u8
9,http://144.0.63.17:8083/hls/9/index.m3u8
9,http://39.89.9.156:8083/hls/9/index.m3u8
